ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working_hours,cbi_score,Burnout_Score
Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Sometimes,Sometimes,Often,Always,Often,Always,Male,1951.0,Self-Employed,Small Animal Medicine,Schleswig-Holstein,20000 pop. aprox.,3. 2000 to 3000 eur,40,75.0,1
Agree,Agree,Disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Never,Seldom,Seldom,Seldom,Seldom,Sometimes,Female,1982.0,Parental Leave,Small Animal Medicine,Hamburg,20000 pop. aprox.,1. less than 1000 eur,45,25.0,0
Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Often,Male,1966.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,5. 4000 to 5000 eur,45,45.83,0
Disagree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Seldom,Sometimes,Often,Often,Seldom,Often,Female,1989.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,4. 3000 to 4000 eur,42,54.17,0
Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Sometimes,Often,Always,Always,Often,Always,Female,1971.0,Employed,Small Animal Medicine,Berlin,100000 pop. aprox.,2. 1000 to 2000 eur,32,83.33,1
Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Often,Sometimes,Always,Female,1990.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,1. less than 1000 eur,55,62.5,0
Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Sometimes,Sometimes,Seldom,Often,Sometimes,Often,Female,1985.0,Self-Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,2. 1000 to 2000 eur,60,54.17,0
Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Seldom,Sometimes,Sometimes,Often,Always,Often,Female,1984.0,Employed,Small Animal Medicine,Saxony (Sachsen),50000 pop. aprox.,3. 2000 to 3000 eur,45,62.5,0
Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,Seldom,Seldom,Seldom,Sometimes,Seldom,Sometimes,Female,1987.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,4. 3000 to 4000 eur,45,33.33,0
Agree,Disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Often,Often,Often,Male,1953.0,Self-Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,6. more than 5000 eur,60,62.5,0
Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Sometimes,Often,Often,Always,Often,Always,Female,1984.0,Employed,Small Animal Medicine,North Rhine-Westphalia,100000 pop. aprox.,3. 2000 to 3000 eur,35,79.17,1
Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Always,Always,Always,Female,1978.0,Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,1. less than 1000 eur,40,75.0,1
Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Never,Seldom,Seldom,Sometimes,Seldom,Seldom,Female,1996.0,Other,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,1. less than 1000 eur,65,25.0,0
Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Seldom,Female,1978.0,Self-Employed,Horses,Schleswig-Holstein,100000 pop. aprox.,2. 1000 to 2000 eur,60,29.17,0
Agree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Never,Seldom,Never,Seldom,Never,Sometimes,Female,1979.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,2. 1000 to 2000 eur,70,16.67,0
Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Sometimes,Sometimes,Often,Always,Often,Often,Male,1978.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,4. 3000 to 4000 eur,70,70.83,1
Agree,Agree,Disagree,Strongly agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Sometimes,Always,Always,Always,Always,Always,Male,1947.0,Self-Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,5. 4000 to 5000 eur,36,91.67,1
Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Seldom,Sometimes,Often,Sometimes,Sometimes,Often,Female,1987.0,Employed,Horses,Bavaria,100000 pop. aprox.,2. 1000 to 2000 eur,40,54.17,0
Agree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree,Often,Often,Often,Often,Always,Always,Male,1960.0,Self-Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,6. more than 5000 eur,90,83.33,1
Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Seldom,Sometimes,Often,Often,Seldom,Always,Female,1982.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,1. less than 1000 eur,10,58.33,0
Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Sometimes,Female,1980.0,Self-Employed,Farm Animals,Saxony (Sachsen),20000 pop. aprox.,2. 1000 to 2000 eur,60,29.17,0
Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Never,Never,Never,Seldom,Seldom,Never,Female,1963.0,Self-Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,5. 4000 to 5000 eur,60,8.33,0
Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Never,Seldom,Seldom,Often,Female,1988.0,Employed,Small Animal Medicine,Rheinland-Pfalz,20000 pop. aprox.,2. 1000 to 2000 eur,45,37.5,0
Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Sometimes,Often,Always,Always,Often,Always,Male,1963.0,Self-Employed,Horses,Niedersachsen,5000 pop. aprox.,6. more than 5000 eur,70,83.33,1
Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1964.0,Employed,Horses,Schleswig-Holstein,100000 pop. aprox.,3. 2000 to 3000 eur,40,25.0,0
Strongly agree,Disagree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Never,Never,Seldom,Never,Never,Sometimes,Female,1967.0,Self-Employed,Small Animal Medicine,Niedersachsen,5000 pop. aprox.,3. 2000 to 3000 eur,60,12.5,0
Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Sometimes,Sometimes,Often,Often,Always,Often,Female,1983.0,Employed,Small Animal Medicine,Bavaria,50000 pop. aprox.,2. 1000 to 2000 eur,45,70.83,1
Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Seldom,Seldom,Seldom,Sometimes,Seldom,Often,Female,1961.0,Self-Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,5. 4000 to 5000 eur,65,37.5,0
Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Often,Often,Often,Always,Often,Often,Male,1978.0,Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,4. 3000 to 4000 eur,50,79.17,1
Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Sometimes,Sometimes,Seldom,Sometimes,Sometimes,Often,Male,1959.0,Self-Employed,Small Animal Medicine,Bavaria,50000 pop. aprox.,6. more than 5000 eur,60,50.0,0
Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Seldom,Seldom,Often,Sometimes,Sometimes,Always,Male,1968.0,Self-Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,1. less than 1000 eur,70,54.17,0
Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Male,1958.0,Employed,Horses,Bavaria,5000 pop. aprox.,4. 3000 to 4000 eur,50,54.17,0
Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Seldom,Seldom,Often,Always,Often,Always,Female,1986.0,Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,2. 1000 to 2000 eur,30,66.67,1
Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Seldom,Sometimes,Often,Always,Often,Always,Male,1977.0,Employed,Small Animal Medicine,Berlin,20000 pop. aprox.,5. 4000 to 5000 eur,40,70.83,1
Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Often,Female,1975.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,35,50.0,0
Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Never,Never,Never,Seldom,Seldom,Seldom,Male,1966.0,Employed,Horses,Bavaria,20000 pop. aprox.,4. 3000 to 4000 eur,60,12.5,0
Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Seldom,Seldom,Always,Sometimes,Sometimes,Often,Female,1991.0,Employed,Horses,Niedersachsen,50000 pop. aprox.,2. 1000 to 2000 eur,55,54.17,0
Agree,Disagree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Never,Seldom,Often,Sometimes,Sometimes,Sometimes,Female,1986.0,Employed,Small Animal Medicine,Niedersachsen,20000 pop. aprox.,2. 1000 to 2000 eur,45,41.67,0
Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Seldom,Sometimes,Sometimes,Often,Sometimes,Often,Female,1984.0,Employed,Small Animal Medicine,Niedersachsen,5000 pop. aprox.,6. more than 5000 eur,50,54.17,0
Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Seldom,Sometimes,Often,Often,Often,Always,Male,1984.0,Employed,Small Animal Medicine,Berlin,100000 pop. aprox.,2. 1000 to 2000 eur,60,66.67,1
Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Male,1976.0,Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,3. 2000 to 3000 eur,50,58.33,0
Disagree,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Often,Female,1976.0,Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,2. 1000 to 2000 eur,30,50.0,0
Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1973.0,Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,1. less than 1000 eur,10,25.0,0
Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Seldom,Often,Sometimes,Often,Female,1976.0,Parental Leave,Farm Animals,Bavaria,20000 pop. aprox.,2. 1000 to 2000 eur,0,54.17,0
Disagree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Seldom,Seldom,Seldom,Seldom,Seldom,Often,Female,1957.0,Self-Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,2. 1000 to 2000 eur,30,33.33,0
Agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Seldom,Seldom,Sometimes,Sometimes,Never,Seldom,Female,1960.0,Self-Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,1. less than 1000 eur,40,29.17,0
Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Seldom,Seldom,Seldom,Often,Sometimes,Sometimes,Male,1965.0,Employed,Small Animal Medicine,Mecklenburg-Vorpommern,5000 pop. aprox.,6. more than 5000 eur,60,41.67,0
Agree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,Sometimes,Often,Seldom,Often,Sometimes,Often,Female,1986.0,Employed,Small Animal Medicine,Niedersachsen,5000 pop. aprox.,2. 1000 to 2000 eur,65,58.33,0
Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Often,Often,Always,Always,Often,Female,1988.0,Employed,Small Animal Medicine,North Rhine-Westphalia,50000 pop. aprox.,3. 2000 to 3000 eur,40,79.17,1
Agree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Seldom,Seldom,Often,Often,Often,Always,Female,1979.0,Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,1. less than 1000 eur,22,62.5,0
Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Seldom,Sometimes,Sometimes,Often,Often,Often,Female,1985.0,Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,3. 2000 to 3000 eur,60,58.33,0
Agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Male,1984.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,3. 2000 to 3000 eur,50,25.0,0
Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Seldom,Seldom,Seldom,Seldom,Seldom,Sometimes,Female,1969.0,Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,5. 4000 to 5000 eur,60,29.17,0
Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Never,Never,Never,Seldom,Seldom,Sometimes,Female,1989.0,Self-Employed,Small Animal Medicine,Niedersachsen,50000 pop. aprox.,3. 2000 to 3000 eur,45,16.67,0
Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Seldom,Seldom,Sometimes,Often,Sometimes,Always,Male,1981.0,Employed,Small Animal Medicine,Schleswig-Holstein,100000 pop. aprox.,4. 3000 to 4000 eur,60,54.17,0
Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Often,Female,1982.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,3. 2000 to 3000 eur,55,45.83,0
Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Never,Never,Never,Seldom,Never,Seldom,Female,1986.0,Employed,Farm Animals,Saxony (Sachsen),20000 pop. aprox.,2. 1000 to 2000 eur,65,8.33,0
Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Never,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Female,1981.0,Self-Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,1. less than 1000 eur,10,37.5,0
Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Seldom,Sometimes,Seldom,Sometimes,Sometimes,Always,Female,1988.0,Employed,Farm Animals,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,45,50.0,0
Agree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Sometimes,Female,1978.0,Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,1. less than 1000 eur,12,29.17,0
Strongly agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Seldom,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Female,1988.0,Employed,Small Animal Medicine,Hamburg,20000 pop. aprox.,3. 2000 to 3000 eur,43,37.5,0
Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Female,1976.0,Employed,Horses,Mecklenburg-Vorpommern,5000 pop. aprox.,4. 3000 to 4000 eur,55,54.17,0
Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Seldom,Seldom,Sometimes,Sometimes,Seldom,Often,Female,1972.0,Employed,Horses,Baden-Wurttemberg,5000 pop. aprox.,1. less than 1000 eur,16,41.67,0
Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Seldom,Sometimes,Seldom,Often,Sometimes,Often,Male,1980.0,Employed,Small Animal Medicine,Schleswig-Holstein,20000 pop. aprox.,3. 2000 to 3000 eur,70,50.0,0
Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Sometimes,Female,1985.0,Employed,Small Animal Medicine,Saxony (Sachsen),5000 pop. aprox.,1. less than 1000 eur,40,33.33,0
Agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Sometimes,Sometimes,Often,Always,Sometimes,Always,Female,1991.0,Employed,Small Animal Medicine,Baden-Wurttemberg,50000 pop. aprox.,1. less than 1000 eur,0,70.83,1
Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Sometimes,Sometimes,Often,Often,Often,Often,Male,1951.0,Self-Employed,Farm Animals,Bavaria,20000 pop. aprox.,5. 4000 to 5000 eur,24,66.67,1
Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Sometimes,Often,Often,Often,Often,Female,1968.0,Self-Employed,Small Animal Medicine,North Rhine-Westphalia,20000 pop. aprox.,6. more than 5000 eur,35,66.67,1
Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Agree,Disagree,Seldom,Seldom,Seldom,Sometimes,Sometimes,Seldom,Male,1954.0,Self-Employed,Horses,Hessen,5000 pop. aprox.,6. more than 5000 eur,60,33.33,0
Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Seldom,Sometimes,Sometimes,Seldom,Sometimes,Often,Female,1970.0,Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,3. 2000 to 3000 eur,40,45.83,0
Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly agree,Sometimes,Always,Sometimes,Always,Always,Always,Female,1974.0,Employed,Small Animal Medicine,Niedersachsen,20000 pop. aprox.,2. 1000 to 2000 eur,12,83.33,1
Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Never,Never,Never,Seldom,Seldom,Seldom,Male,1954.0,Self-Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,6. more than 5000 eur,98,12.5,0
Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Often,Often,Always,Always,Always,Always,Female,1959.0,Self-Employed,Small Animal Medicine,Niedersachsen,20000 pop. aprox.,2. 1000 to 2000 eur,35,91.67,1
Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1975.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,2. 1000 to 2000 eur,22,25.0,0
Agree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Sometimes,Sometimes,Sometimes,Always,Often,Often,Female,1966.0,Employed,Small Animal Medicine,North Rhine-Westphalia,100000 pop. aprox.,3. 2000 to 3000 eur,40,66.67,1
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Seldom,Seldom,Seldom,Seldom,Seldom,Always,Male,1970.0,Self-Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,6. more than 5000 eur,60,37.5,0
Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Seldom,Sometimes,Seldom,Sometimes,Seldom,Often,Female,1984.0,Employed,Small Animal Medicine,North Rhine-Westphalia,20000 pop. aprox.,2. 1000 to 2000 eur,50,41.67,0
Agree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Seldom,Often,Sometimes,Often,Sometimes,Always,Female,1990.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,2. 1000 to 2000 eur,50,62.5,0
Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Seldom,Seldom,Often,Sometimes,Seldom,Always,Male,1962.0,Self-Employed,Small Animal Medicine,Niedersachsen,5000 pop. aprox.,5. 4000 to 5000 eur,80,50.0,0
Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Seldom,Seldom,Seldom,Sometimes,Seldom,Sometimes,Male,1964.0,Employed,Small Animal Medicine,Bavaria,50000 pop. aprox.,6. more than 5000 eur,60,33.33,0
Agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Sometimes,Often,Often,Sometimes,Sometimes,Often,Female,1982.0,Employed,Small Animal Medicine,Niedersachsen,50000 pop. aprox.,6. more than 5000 eur,45,62.5,0
Agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Often,Often,Always,Always,Always,Always,Female,1985.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,3. 2000 to 3000 eur,50,91.67,1
Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Seldom,Seldom,Seldom,Often,Often,Sometimes,Female,1981.0,Employed,Small Animal Medicine,Niedersachsen,5000 pop. aprox.,2. 1000 to 2000 eur,26,45.83,0
Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Sometimes,Often,Often,Always,Often,Often,Female,1984.0,Employed,Small Animal Medicine,Bavaria,5000 pop. aprox.,3. 2000 to 3000 eur,45,75.0,1
Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Often,Often,Often,Often,Often,Always,Female,1979.0,Employed,Small Animal Medicine,Brandenburg,20000 pop. aprox.,3. 2000 to 3000 eur,45,79.17,1
Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Seldom,Sometimes,Often,Often,Sometimes,Often,Female,1977.0,Employed,Small Animal Medicine,Niedersachsen,5000 pop. aprox.,2. 1000 to 2000 eur,22,58.33,0
Disagree,Agree,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Seldom,Seldom,Often,Always,Sometimes,Sometimes,Male,1965.0,Self-Employed,Small Animal Medicine,Brandenburg,20000 pop. aprox.,2. 1000 to 2000 eur,50,54.17,0
Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1977.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,1. less than 1000 eur,40,25.0,0
Agree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Sometimes,Sometimes,Often,Often,Often,Often,Female,1967.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,2. 1000 to 2000 eur,23,66.67,1
Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Sometimes,Sometimes,Seldom,Often,Sometimes,Sometimes,Female,1962.0,Employed,Small Animal Medicine,Niedersachsen,20000 pop. aprox.,4. 3000 to 4000 eur,60,50.0,0
Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Seldom,Seldom,Sometimes,Often,Sometimes,Often,Male,1971.0,Employed,Small Animal Medicine,Baden-Wurttemberg,5000 pop. aprox.,3. 2000 to 3000 eur,47,50.0,0
Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Seldom,Seldom,Seldom,Seldom,Seldom,Sometimes,Male,1975.0,Employed,Small Animal Medicine,Niedersachsen,20000 pop. aprox.,5. 4000 to 5000 eur,38,29.17,0
Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Sometimes,Often,Always,Often,Always,Always,Female,1988.0,Employed,Small Animal Medicine,Bavaria,100000 pop. aprox.,3. 2000 to 3000 eur,50,83.33,1
Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Male,1969.0,Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,6. more than 5000 eur,50,58.33,0
Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Seldom,Often,Often,Often,Sometimes,Seldom,Female,1991.0,Employed,Small Animal Medicine,Niedersachsen,50000 pop. aprox.,1. less than 1000 eur,35,54.17,0
Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Often,Always,Always,Always,Female,1980.0,Employed,Small Animal Medicine,Niedersachsen,50000 pop. aprox.,5. 4000 to 5000 eur,40,79.17,1
Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Seldom,Sometimes,Seldom,Seldom,Sometimes,Sometimes,Female,1985.0,Employed,Small Animal Medicine,Niedersachsen,100000 pop. aprox.,3. 2000 to 3000 eur,40,37.5,0
